 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:49.028  SVG RIX 0.768 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:28:57.028  RIX SVG 0.345 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:01.029  RIX SVG 0.237 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:09.029  RIX SVG 0.312 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:14.029  RIX SVG 0.314 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:18.029  RIX SVG 0.313 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:25.029  RIX SVG 0.344 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:29.029  RIX SVG 0.424 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:37.029  RIX SVG 0.609 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:41.029  RIX SVG 0.453 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:49.029  RIX SVG 0.365 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:53.029  RIX SVG 0.626 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:29:59.029  RIX SVG 0.594 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:02.030  RIX SVG 0.453 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:10.030  TRN SVG 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:15.030  BRI SVG 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:22.030  SVG DXB 0.157 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:27.030  SVG SFO 0.221 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:31.030  SVG SFO 0.203 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:35.030  SVG SFO 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:40.030  SVG SFO 0.266 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:47.030  SVG SFO 0.256 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:51.030  SVG SFO 0.204 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:30:58.030  SVG SFO 0.330 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:01.031  SVG SFO 0.312 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:04.031  SVG SFO 0.532 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:08.031  SFO SVG 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:12.031  SFO SVG 0.253 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:16.031  SFO SVG 0.187 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:21.031  SFO SVG 0.204 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:25.031  SFO SVG 0.219 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:32.031  SFO SVG 0.219 >
